NO,Pin Name,Pin Function,Pin description
1,S,common data select input,
2,I10,data input from source 0,
3,I11,data input from source 1,
4,1Y,multiplexer output,
5,2I0,data input from source 0,
6,2I1,data input from source 1,
7,2Y,multiplexer output,
8,GND,ground (0 V),
9,3Y,multiplexer output,
10,3I1,data input from source 1,
11,3I0,data input from source 0,
12,4Y,multiplexer output,
13,4I1,data input from source 1,
14,4I0,data input from source 0,
15,E,enable input (active LOW),
16,Vcc,supply voltage,
