NO,Pin Name,Pin Function,Pin description
A11,IO_LE1P_0,"Type=IOBB, Bank=0","none"
C11,IO_LE1N_0,"Type=IOBB, Bank=0","none"
B9,IO_L2P_0,"Type=IOBE, Bank=0","none"
A10,IO_L2N_0,"Type=IOBE, Bank=0","none"
C13,IO_L1_0_DONE,"Type=IOBE, Bank=0","none"
A13,IO_L3_0_INITN,"Type=IOBE, Bank=0","none"
F8,"IO_L3P_0, ADCO_CH0","Type=IOBE, Bank=0","none"
D9,"IO_L3N_0, ADCO_CH5","Type=IOBE, Bank=0","none"
E10,IO_L4N_0,"Type=IOBE, Bank=0","none"
D10,IO_L4P_0,"Type=IOBE, Bank=0","none"
F7,"IO_L5P_0, ADCO_CH6","Type=IOBE, Bank=0","none"
E8,"IO_L5N_0, ADCO_CH7","Type=IOBE, Bank=0","none"
B10,IO_L2_0_PROGRAMN,"Type=IOBE, Bank=0","none"
C10,IO_L4_0_JTAGEN,"Type=IOBE, Bank=0","none"
D8,IO_L6P_0,"Type=IOBE, Bank=0","none"
E9,"IO_L6N_0, DPCLKI0_1","Type=IOBE, Bank=0","none"
C9,"IO_L7N_GCLKI0L_1_0, LVD_SRX_ON, ADCO_CH1","Type=IOBE, Bank=0","none"
A9,"IO_L7P_GCLKI0L_0_0, LVD_SRX_OP, ADCO_CH2","Type=IOBE, Bank=0","none"
A5,IO_L8P_0,"Type=IOBE, Bank=0","none"
B6,IO_L8N_0,"Type=IOBE, Bank=0","none"
A8,"IO_L9N_GCLKI0L_3_0, LVD_STX_ON, ADCO_CH3","Type=IOBE, Bank=0","none"
C8,"IO_L9P_GCLKI0L_2_0, LVD_STX_OP, ADCO_CH4","Type=IOBE, Bank=0","none"
B7,IO_L10P_0,"Type=IOBE, Bank=0","none"
C7,IO_L10N_0,"Type=IOBE, Bank=0","none"
B8,"IO_L6_0, TMS","Type=IOBE, Bank=0","none"
A7,"IO_L8_0, TCK","Type=IOBE, Bank=0","none"
E6,"IO_L11P_0, DPCLKI0_2, LV_DSTX_OP","Type=IOBE, Bank=0","none"
D7,"IO_L11N_0, LVDSTX_ON","Type=IOBE, Bank=0","none"
E7,IO_L12N_0,"Type=IOBE, Bank=0","none"
D6,IO_L12P_0,"Type=IOBE, Bank=0","none"
C6,"IO_L7_0, TDO","Type=IOBE, Bank=0","none"
A6,"IO_L5_0, TDI","Type=IOBE, Bank=0","none"
C5,IO_L13N_0,"Type=IOBE, Bank=0","none"
A4,IO_L13P_0,"Type=IOBE, Bank=0","none"
C4,IO_L14P_0,"Type=IOBE, Bank=0","none"
B5,IO_L14N_0,"Type=IOBE, Bank=0","none"
B4,IO_L15N_0,"Type=IOBE, Bank=0","none"
A3,IO_L15P_0,"Type=IOBE, Bank=0","none"
B3,IO_L1_0,"Type=IOBB, Bank=0","none"
A15,IO_TE1N_0,"Type=IOBB, Bank=0","none"
B14,IO_TE1P_0,"Type=IOBB, Bank=0","none"
