NO,Pin Name,Pin Function,Pin description
1,VSENSE,"输出电压远端反馈引脚","若不使用远端反馈功能时，VSENSE直接与VOUT短接。"
2,VOUT,"输出引脚","将输出引脚连接到负载，并将输出滤波电容放置在输出引脚和PGND引脚之间。"
3,PGND,"输入和输出电源地引脚","将此引脚连接到输入和输出滤波电容的接地电极。"
16,PGND,"输入和输出电源地引脚","将此引脚连接到输入和输出滤波电容的接地电极。"
17,PGND,"输入和输出电源地引脚","将此引脚连接到输入和输出滤波电容的接地电极。"
4,VCC,"内部LDO输出信号","驱动器和控制电路由该电压供电。用至少1µF陶瓷电容去耦，尽可能靠近PGND布局。推荐使用7k级介质陶瓷电容。"
5,SW,"电路的开关节点","none"
18,SW,"电路的开关节点","none"
6,BOOT,"内部自举电路输出引脚","悬空使用。"
7,AGND,"信号地引脚","none"
8,CS,"输出过流调节引脚","它通过对外部阻值接到AGND引脚。"
9,MODE,"频率调整引脚","none"
10,VREF,"软启动设置引脚","电源模块中内置了一个软启动电容，默认情况下，此引脚悬空。"
11,RGND,"信号地引脚，环路采样，调节专用引脚","none"
12,FB,"输出电压调节引脚","从输出到RGND的外部电阻分压设置输出电压。建议将电阻分压器放置在尽可能靠近FB的地方。FB走线长度越短越好。"
13,EN,"使能引脚","EN引脚内部通过10k电阻上拉到VIN，EN引脚外部必须通过电阻连接到地。其他内容参见6.3.1 EN。"
14,PG,"电源状态指示信号引脚","该引脚为开漏信号，必须通过上拉才能正常指示。"
15,VIN,"电源输入引脚","将电源输入引脚连接到输入电源，并将输入滤波电容放置在电源输入引脚和PGND引脚之间。"
19,VIN,"电源输入引脚","将电源输入引脚连接到输入电源，并将输入滤波电容放置在电源输入引脚和PGND引脚之间。"
