NO,Pin Name,Pin Function,Pin description
1,NC,悬空引脚,"该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
16,NC,悬空引脚,"该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
17,NC,悬空引脚,"该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
18,NC,悬空引脚,"该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
19,NC,悬空引脚,"该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
29,NC,悬空引脚,"该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
30,NC,悬空引脚,"该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
36,NC,悬空引脚,"该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
2,Vin,电源模块输入引脚,"接输入电源模块，输入滤波电容放在Vin引脚和GND引脚4、5、6、20之间。"
3,Vin,电源模块输入引脚,"接输入电源模块，输入滤波电容放在Vin引脚和GND引脚4、5、6、20之间。"
34,Vin,电源模块输入引脚,"接输入电源模块，输入滤波电容放在Vin引脚和GND引脚4、5、6、20之间。"
35,Vin,电源模块输入引脚,"接输入电源模块，输入滤波电容放在Vin引脚和GND引脚4、5、6、20之间。"
37,Vin,电源模块输入引脚,"接输入电源模块，输入滤波电容放在Vin引脚和GND引脚4、5、6、20之间。"
4,GND,输入输出地引脚,"接输入输出滤波电容。"
5,GND,输入输出地引脚,"接输入输出滤波电容。"
6,GND,输入输出地引脚,"接输入输出滤波电容。"
20,GND,输入输出地引脚,"接输入输出滤波电容。"
21,GND,输入输出地引脚,"接输入输出滤波电容。"
22,GND,输入输出地引脚,"接输入输出滤波电容。"
38,GND,输入输出地引脚,"接输入输出滤波电容。"
40,GND,输入输出地引脚,"接输入输出滤波电容。"
41,GND,输入输出地引脚,"接输入输出滤波电容。"
7,Vout,输出引脚,"接负载，输出滤波电容放在Vout引脚和GND引脚21,22,38,40,41之间。"
8,Vout,输出引脚,"接负载，输出滤波电容放在Vout引脚和GND引脚21,22,38,40,41之间。"
9,Vout,输出引脚,"接负载，输出滤波电容放在Vout引脚和GND引脚21,22,38,40,41之间。"
10,Vout,输出引脚,"接负载，输出滤波电容放在Vout引脚和GND引脚21,22,38,40,41之间。"
11,Vout,输出引脚,"接负载，输出滤波电容放在Vout引脚和GND引脚21,22,38,40,41之间。"
12,Vout,输出引脚,"接负载，输出滤波电容放在Vout引脚和GND引脚21,22,38,40,41之间。"
39,Vout,输出引脚,"接负载，输出滤波电容放在Vout引脚和GND引脚21,22,38,40,41之间。"
13,TRIM,输出电压调节,"请参见5.4.2输出电压调节。"
14,COMP,"误差放大器输出内部电流比较器引脚","将场效应管检测元件连接到引脚。如果不使用COMP引脚，则引脚保持悬空。"
15,RT,调频电阻连接引脚,none
23,SS,输出电压缓起引脚,"通过该引脚与GND之间的电容可以控制输出电压爬升时间。"
24,PH,电路的开关节点,"此引脚间用于检查开关频率。"
25,PH,电路的开关节点,"此引脚间用于检查开关频率。"
26,PH,电路的开关节点,"此引脚间用于检查开关频率。"
27,PH,电路的开关节点,"此引脚间用于检查开关频率。"
28,PH,电路的开关节点,"此引脚间用于检查开关频率。"
42,PH,电路的开关节点,"此引脚间用于检查开关频率。"
31,BOOT,自举电容引脚,"BOOT和PH之间内部接有一个自举电容，该引脚保持悬空。"
32,PG,电源状态指示信号引脚,"该引脚为悬空信号，必须通过电阻上拉才能正常指示。PG信号通过10kΩ电阻上拉至固定电平（不超过5.5V）。具体操作请参考5.4.3 PG"
33,EN,使能引脚,"高电平电源模块使能开机，低电平电源模块能关机。请参考5.4.1 EN。"
