NO,Pin Name,Pin Function,Pin Description
B1,IO_L1P_0,none,Bank 0
A1,IO_L1N_0,none,Bank 0
G7,"IO_LE2P_0,GPLL0_OUTP",PLL专用输出引脚 ,Bank 0
F7,"IO_LE2N_0,GPLL0_OUTN",PLL专用输出引脚 ,Bank 0
B2,IO_L3P_0,none,Bank 0
A2,IO_L3N_0,none,Bank 0
E6,IO_LE4P_0,none,Bank 0
D5,IO_LE4N_0,none,Bank 0
B3,IO_L5P_0,none,Bank 0
A3,IO_L5N_0,none,Bank 0
D6,IO_LE6P_0,none,Bank 0
E7,IO_LE6N_0,none,Bank 0
B4,IO_L7P_0,none,Bank 0
A4,IO_L7N_0,none,Bank 0
G8,IO_LE8P_0,none,Bank 0
F8,IO_LE8N_0,none,Bank 0
B5,IO_L9P_0,none,Bank 0
A5,IO_L9N_0,none,Bank 0
G9,IO_LE10P_0,none,Bank 0
F9,IO_LE10N_0,none,Bank 0
B6,IO_L11P_0,none,Bank 0
A6,IO_L11N_0,none,Bank 0
E8,"IO_LE12P_0,TDO",边界扫描数据输出,Bank 0
C7,"IO_LE12N_0,TDI",边界扫描数据输入 ,Bank 0
B7,IO_L13P_0,none,Bank 0
A7,IO_L13N_0,none,Bank 0
C6,IO_LE14P_0,none,Bank 0
D7,IO_LE14N_0,none,Bank 0
B8,IO_L15P_0,none,Bank 0
A8,IO_L15N_0,none,Bank 0
D8,IO_LE16P_0,none,Bank 0
C8,IO_LE16N_0,none,Bank 0
B9,IO_L17P_0,none,Bank 0
A9,IO_L17N_0,none,Bank 0
C9,"IO_LE18P_0,TCK",TCK输入边界扫描时钟 ,Bank 0
D9,"IO_LE18N_0,TMS",边界扫描模式选择 ,Bank 0
B11,IO_L19P_0,none,Bank 0
A11,IO_L19N_0,none,Bank 0
G10,IO_LE20P_0,none,Bank 0
F10,IO_LE20N_0,none,Bank 0
B10,"IO_L21P_0,GCLKIOL_0_0",全局时钟专用输入引脚,Bank 0
A10,"IO_L21N_0,GCLKIOL_1_0",全局时钟专用输入引脚,Bank 0
D10,IO_LE22P_0,none,Bank 0
C10,IO_LE22N_0,none,Bank 0
A12,IO_L23P_0,none,Bank 0
B12,IO_L23N_0,none,Bank 0
C11,"IO_LE24P_0,GCLKIOL_2_0",全局时钟专用输入引脚,Bank 0
D11,"IO_LE24N_0,GCLKIOL_3_0",全局时钟专用输入引脚,Bank 0
A13,IO_L25P_0,none,Bank 0
B13,IO_L25N_0,none,Bank 0
D12,IO_LE26P_0,none,Bank 0
C12,IO_LE26N_0,none,Bank 0
A14,IO_L27P_0,none,Bank 0
B14,IO_L27N_0,none,Bank 0
C13,"IO_LE28P_0,JTAGEN",JTAG使能,Bank 0
D13,"IO_LE28N_0,PROGRAM",全局复位输入，低有效,Bank 0
A15,IO_L29P_0,none,Bank 0
B15,IO_L29N_0,none,Bank 0
G11,IO_LE30P_0,none,Bank 0
F11,IO_LE30N_0,none,Bank 0
A16,IO_L31P_0,none,Bank 0
B16,IO_L31N_0,none,Bank 0
G12,IO_LE32P_0,none,Bank0
F12,IO_LE32N_0,none,Bank 0
A17,IO_L33P_0,none,Bank 0
B17,IO_L33N_0,none,Bank 0
G13,IO_LE34P_0,none,Bank 0
F13,IO_LE34N_0,none,Bank 0
C15,IO_L35P_0,none,Bank 0
C16,IO_L35N_0,none,Bank 0
C14,IO_LE36P_0,none,Bank 0
D14,IO_LE36N_0,none,Bank 0
A18,IO_L37P_0,none,Bank 0
B18,IO_L37N_0,none,Bank 0
E14,IO_LE38P_0,none,Bank 0
D15,IO_LE38N_0,none,Bank 0
B19,IO_L39P_0,none,Bank 0
A20,IO_L39N_0,none,Bank 0
G14,"IO_LE40P_0,GPLL1_OUTP",PLL专用输出引脚 ,Bank 0
F14,"IO_LE40N_0,GPLL1_OUTN",PLL专用输出引脚 ,Bank 0
E15,IO_L41P_0,none,Bank 0
D16,IO_L41N_0,none,Bank 0
C17,"IO_LE42P_0,INITN ",专用配置状态引脚，输出高表示FPGA准备好配置，源端开路,Bank 0
A19,"IO_LE42N_0,DONE",专用配置状态引脚，在配置完成后会输出高，源端开路,Bank 0
D17,"IO_TE1P_1,GPLL1IP_FDB",PLL反馈时钟专用输入引脚,Bank 1
C18,"IO_TE1N_1,GPLL1IN_FDB",PLL反馈时钟专用输入引脚,Bank 1
F15,IO_TE2P_1,none,Bank 1
G15,IO_TE2N_1,none,Bank 1
C19,"IO_TE3P_1,GPLL1IP_REF",PLL参考时钟专用输入引脚 ,Bank 1
E17,"IO_TE3N_1,GPLL1IN_REF",PLL参考时钟专用输入引脚 ,Bank 1
F16,IO_TE4P_1,none,Bank 1
D18,IO_TE4N_1,none,Bank 1
H14,IO_TE5P_1,none,Bank 1
H15,IO_TE5N_1,none,Bank 1
G16,IO_TE6P_1,none,Bank 1
F18,IO_TE6N_1,none,Bank 1
B20,IO_TE7P_1,none,Bank 1
C20,IO_TE7N_1,none,Bank 1
D19,IO_TE8P_1,none,Bank 1
F17,IO_TE8N_1,none,Bank 1
J14,IO_TE9P_1,none,Bank 1
J15,IO_TE9N_1,none,Bank 1
F19,IO_TE10P_1,none,Bank 1
F20,IO_TE10N_1,none,Bank 1
D20,IO_TE11P_1,none,Bank 1
E19,IO_TE11N_1,none,Bank 1
G17,IO_TE12P_1,none,Bank 1
E20,IO_TE12N_1,none,Bank 1
H16,IO_TE13P_1,none,Bank 1
G20,IO_TE13N_1,none,Bank 1
G19,IO_TE14P_1,none,Bank 1
H17,IO_TE14N_1,none,Bank 1
J18,IO_TE15P_1,none,Bank 1
J16,IO_TE15N_1,none,Bank 1
K16,IO_TE16P_1,none,Bank 1
L17,IO_TE16N_1,none,Bank 1
K14,IO_TE17P_1,none,Bank 1
K15,IO_TE17N_1,none,Bank 1
K19,"IO_TE18P_1,GCLKIOT_0_1",全局时钟专用输入引脚,Bank 1
K20,"IO_TE18N_1,GCLKIOT_1_1",全局时钟专用输入引脚,Bank 1
H18 ,IO_TE19P_1,none,Bank 1
H19,IO_TE19N_1,none,Bank 1
J17 ,IO_TE20P_1,none,Bank 1
H20,IO_TE20N_1,none,Bank 1
J19 ,IO_TE21P_1,none,Bank 1
J20 ,IO_TE21N_1,none,Bank 1
L19 ,"IO_TE22P_1,GCLKIOT_2_1",全局时钟专用输入引脚,Bank 1
L20 ,"IO_TE22N_1,GCLKIOT_3_1",全局时钟专用输入引脚,Bank 1
L20 ,IO_TE23P_1,none,Bank 1
K18 ,IO_TE23N_1,none,Bank 1
L16 ,IO_TE24P_1,none,Bank 1
M18 ,IO_TE24N_1,none,Bank 1
L14 ,IO_TE25P_1,none,Bank 1
L15 ,IO_TE25N_1,none,Bank 1
M20 ,"IO_TE26P_1,CSON,DOUT","CSON,DOUT接口",Bank 1
M19 ,IO_TE26N_1 ,none,Bank 1
M17 ,"IO_TE27P_1,D6",none,Bank 1
N20 ,"IO_TE27N_1,D7",none,Bank 1
M16 ,IO_TE28P_1 ,none,Bank 1
N19 ,IO_TE28N_1 ,none,Bank 1
P20 ,"IO_TE29P_1,D4",none,Bank 1
P19 ,"IO_TE29N_1,D5",none,Bank 1
N18 ,IO_TE30P_1 ,none,Bank 1
N17 ,"IO_TE30N_1,USRCLK",USRCLK引脚,Bank 1
N16 ,"IO_TE31P_1,D2",none,Bank 1
