NO,Pin Name,Pin Function,Pin description
1,Vsense,输出电压远端反馈引脚,"若不使用远端反馈功能时，Vsense直接与Vout短接。"
2,Vout,输出引脚,"将输出引脚连接到负载，并将输出滤波电容放置在输出引脚和PGND引脚之间。"
3,PGND,输入输出电源地引脚,"将这些引脚连接输入和输出滤波电容的接地。"
16,PGND,输入输出电源地引脚,"将这些引脚连接输入和输出滤波电容的接地。"
17,PGND,输入输出电源地引脚,"将这些引脚连接输入和输出滤波电容的接地。"
4,VCC,"内部LDO输出，用于驱动器和控制电路供电","使用至少1μF陶瓷电容进行去耦，尽可能靠近PGND。"
5,SW,电路的开关节点,"无"
18,SW,电路的开关节点,"无"
6,BOOT,内部自举电路输出引脚,"悬空使用"
7,AGND,信号地引脚,"无"
8,CS,输出电流调整引脚,"通过CS与AGND之间的电阻值可调节输出电流保护点。"
9,MODE,频率调整引脚,"通过60.4kΩ内部电阻接地，默认悬空，对应频率为1MHz。"
10,VREF,软启动设置引脚,"模块上电后进入软启动阶段，默认情况下此引脚保持悬空。"
11,RGND,信号地引脚,"环路采样，调节专用引脚。"
12,FB,输出电压调节引脚,"从输出到RGND的内部电阻分压器设置输出电压，建议将分压器放置在尽可能靠近FB的地方。"
13,EN,使能引脚,"EN引脚内部通过10kΩ电阻上拉到Vin，外部需通过电阻接地，详情见6.3.1 EN。"
14,PG,"电源状态指示信号引脚","该引脚为开漏结构，需通过电阻上拉才能正常指示高，若不使用请保持悬空。"
15,Vin,电源模块输入引脚,"将输入电源接至该引脚，并将输入滤波电容置于这些引脚与PGND引脚之间。"
19,Vin,电源模块输入引脚,"将输入电源接至该引脚，并将输入滤波电容置于这些引脚与PGND引脚之间。"
20,Vin,电源模块输入引脚,"将输入电源接至该引脚，并将输入滤波电容置于这些引脚与PGND引脚之间。"
