NO,Pin Name,Pin Function,Pin Description
A1,VDDQ,Supply,DQ Power Supply: 1.2 V ±0.06 V
A2,VSSQ,Supply,DQ Ground
A3,DQ0,Input/Output,Bi-directional data bus (DQ)
A7,DQSU_c, Input / Output," Data Strobe: output with read data, input with write data. Edge-aligned with read data, centered in write data. "
A8,VSSQ,Supply,DQ Ground
A9,VDDQ,Supply,DQ Power Supply: 1.2 V ±0.06 V
B1,VPP,Supply,DRAM Activating Power Supply: 2.5 V (2.375 V–2.75 V)
B2,VSS,Supply,Ground
B3,VDD,Supply,Power Supply: 1.2 V ±0.06 V
B7, DQSU_t,Input/Output,"Data Strobe: output with read data, input with write data. Edge-aligned with read data, centered in write data. "
B8,DQ1,Input/Output,Bi-directional data bus (DQ)
B9,VDD,Supply,Power Supply: 1.2 V +/- 0.06 V
C1,VDDQ,Supply,DQ Power Supply: 1.2 V ±0.06 V
C2,DQ4,Input/Output,Bi-directional data bus (DQ)
C3,DQ2,Input/Output,Bi-directional data bus (DQ)
C7, DQ3,Input/Output,Bi-directional data bus (DQ)
C8,DQ5,Input/Output,Bi-directional data bus (DQ)
C9,VSSQ,Supply,DQ Ground
D1,VDD,Supply,Power Supply: 1.2 V ±0.06 V
D2,VSSQ,Supply,DQ Ground
D3,DQ6,Input/Output,Bi-directional data bus (DQ)
D7,DQ7,Input/Output,Bi-directional data bus (DQ)
D8,VSSQ,Supply,DQ Ground
D9,VDDQ,Supply,DQ Power Supply: 1.2 V ±0.06 V
E1,VSS,Supply,Ground
E2,DMU_n/DBIU_n,Input/Output,Data Mask/Data Bus Inversion for upper byte
E3,VSSQ,Supply,DQ Ground
E7,"DML_n/DBIL_n", Input/Output,Input Data Mask and Data Bus Inversion
E8,VSSQ,Supply,DQ Ground
E9,VSS,Supply,Ground
F1,VSSQ,Supply,DQ Ground
F2,VDDQ,Supply,DQ Power Supply: 1.2 V ±0.06 V
F3,DQSL_c,Input/Output,Data Strobe (complement) for lower byte (x16)
