NO,Pin Name,Pin Function,Pin description
1,SW,"电路的开关节点","此引脚用于检测开关频率。"
2,SW,"电路的开关节点","此引脚用于检测开关频率。"
3,SW,"电路的开关节点","此引脚用于检测开关频率。"
4,SW,"电路的开关节点","此引脚用于检测开关频率。"
5,NC,"悬空引脚","该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
6,NC,"悬空引脚","该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
7,NC,"悬空引脚","该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
8,NC,"悬空引脚","该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
9,NC,"悬空引脚","该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
10,NC,"悬空引脚","该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
11,AGND,"信号地","内部单点与PGND连接。"
12,CS,"输出电流调节引脚","通过8.2kΩ内置电阻接地。默认情况下，此引脚保持悬空。"
13,MODE,"频率调整引脚","它通过59kΩ内部电阻接地。默认频率为1MHz。"
14,TRK/REF,"缓启动设置引脚","电源模块中接了一个缓启动电容。默认情况下，此引脚保持悬空。"
15,RGND,"信号地","内部单点与PGND连接，此引脚仅用于环路调节，调节。"
16,FB,"输出电压调节引脚","通过调整该引脚与RGND之间的外部电阻设置输出电压。"
17,Vout,"输出引脚","接负载，输出滤波电容放在这些引脚和PGND之间。"
18,Vout,"输出引脚","接负载，输出滤波电容放在这些引脚和PGND之间。"
19,Vout,"输出引脚","接负载，输出滤波电容放在这些引脚和PGND之间。"
20,Vout,"输出引脚","接负载，输出滤波电容放在这些引脚和PGND之间。"
21,Vout,"输出引脚","接负载，输出滤波电容放在这些引脚和PGND之间。"
22,EN,"使能引脚","高电平电源模块能开机，低电平电源模块能关机。请参见5.4.1 EN。"
23,PG,"电源状态指示信号引脚","该引脚为空浮管，必须通过电阻上拉才能正常指示，上拉电压不能超过6V。指示信号为高电平表示电源输出正常。"
24,Vin,"电源输入引脚","连接输入电源，输入滤波电容放在这些引脚和PGND之间。"
25,NC,"悬空引脚","该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
26,NC,"悬空引脚","该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
27,NC,"悬空引脚","该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
28,NC,"悬空引脚","该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
29,Vin,"电源输入引脚","连接输入电源，输入滤波电容放在这些引脚和PGND之间。"
30,NC,"悬空引脚","该引脚已连接到电源模块内部，禁止外部连接，禁止接地，否则可能导致电源模块损坏。"
31,PGND,"电源地","将这些引脚连接到输入和输出滤波电容的接地极。"
32,PGND,"电源地","将这些引脚连接到输入和输出滤波电容的接地极。"
33,PGND,"电源地","将这些引脚连接到输入和输出滤波电容的接地极。"
34,PGND,"电源地","将这些引脚连接到输入和输出滤波电容的接地极。"
35,VCC,"内部3V LDO输出","驱动器和控制电路由该引脚供电。"
36,SW,"电路的开关节点","此引脚用于检测开关频率。"
37,PGND,"电源地","将这些引脚连接到输入和输出滤波电容的接地极。"
38,PGND,"电源地","将这些引脚连接到输入和输出滤波电容的接地极。"
39,SW,"电路的开关节点","此引脚用于检测开关频率。"
40,Vin,"电源输入引脚","连接输入电源，输入滤波电容放在这些引脚和PGND之间。"
