NO,Pin Name,Pin Function,Pin description
1,1DIR,I,"方向控制信号"
2,1B1,"I/O","输入/输出, 以 VCCB 为基准"
3,1B2,"I/O","输入/输出, 以 VCCB 为基准"
4,GND,"-","接地"
5,1B3,"I/O","输入/输出, 以 VCCB 为基准"
6,1B4,"I/O","输入/输出, 以 VCCB 为基准"
7,VCCB,"-","B 端口电源, 1.2V ≤ VCCB ≤ 3.6V"
8,1B5,"I/O","输入/输出, 以 VCCB 为基准"
9,1B6,"I/O","输入/输出, 以 VCCB 为基准"
10,GND,"-","接地"
11,1B7,"I/O","输入/输出, 以 VCCB 为基准"
12,1B8,"I/O","输入/输出, 以 VCCB 为基准"
13,2B1,"I/O","输入/输出, 以 VCCB 为基准"
14,2B2,"I/O","输入/输出, 以 VCCB 为基准"
15,GND,"-","接地"
16,2B3,"I/O","输入/输出, 以 VCCB 为基准"
17,2B4,"I/O","输入/输出, 以 VCCB 为基准"
18,VCCB,"-","B 端口电源, 1.2V ≤ VCCB ≤ 3.6V"
19,2B5,"I/O","输入/输出, 以 VCCB 为基准"
20,2B6,"I/O","输入/输出, 以 VCCB 为基准"
21,GND,"-","接地"
22,2B7,"I/O","输入/输出, 以 VCCB 为基准"
23,2B8,"I/O","输入/输出, 以 VCCB 为基准"
24,2DIR,I,"方向控制信号"
25,2OE,"-","三态输出模式使能。将 OE 引脚接为高电平, 使所有输出处于三态模式。以 VCCA 为基准"
26,2A8,"I/O","输入/输出, 以 VCCA 为基准"
27,2A7,"I/O","输入/输出, 以 VCCA 为基准"
28,GND,"-","接地"
29,2A6,"I/O","输入/输出, 以 VCCA 为基准"
30,2A5,"I/O","输入/输出, 以 VCCA 为基准"
31,GND,"-","接地"
32,2A4,"I/O","输入/输出, 以 VCCA 为基准"
33,2A3,"I/O","输入/输出, 以 VCCA 为基准"
34,GND,"-","接地"
35,2A2,"I/O","输入/输出, 以 VCCA 为基准"
36,2A1,"I/O","输入/输出, 以 VCCA 为基准"
37,1A8,"I/O","输入/输出, 以 VCCA 为基准"
38,1A7,"I/O","输入/输出, 以 VCCA 为基准"
39,GND,"-","接地"
40,1A6,"I/O","输入/输出, 以 VCCA 为基准"
41,1A5,"I/O","输入/输出, 以 VCCA 为基准"
42,VCCA,"-","A 端口电源电压, 1.2V ≤ VCCA ≤ 3.6V"
43,1A4,"I/O","输入/输出, 以 VCCA 为基准"
44,1A3,"I/O","输入/输出, 以 VCCA 为基准"
45,GND,"-","接地"
46,1A2,"I/O","输入/输出, 以 VCCA 为基准"
47,1A1,"I/O","输入/输出, 以 VCCA 为基准"
48,1OE,"-","三态输出模式使能。将 OE 引脚接为高电平, 使所有输出处于三态模式。以 VCCA 为基准"
