NO,Pin Name,Pin Function,Pin description
1,CH0,"Analog Input Channel 0",""
2,CH1,"Analog Input Channel 1",""
3,CH2,"Analog Input Channel 2",""
4,CH3,"Analog Input Channel 3",""
5,CH4,"Analog Input Channel 4",""
6,CH5,"Analog Input Channel 5",""
7,CH6,"Analog Input Channel 6",""
8,CH7,"Analog Input Channel 7",""
9,GND,"Analog Ground",""
10,REFIN/REFOUT,"Internal +2.5V Reference, External Reference Input",""
11,COM,"Common to Analog Input Channel",""
12,A0,"Slave Address Bit 0",""
13,A1,"Slave Address Bit 1",""
14,SCL,"Serial Clock",""
15,SDA,"Serial Data",""
16,+VDD,"Power Supply, 3.3V Nominal",""
