NO,Pin Name,Pin Function,Pin description
1,INT,O,"Interrupt output. Connect to VDD through a pull-up resistor."
22,INT,O,"Interrupt output. Connect to VDD through a pull-up resistor."
2,A1,I,"Address input 1. Connect directly to VDD or VSS."
23,A1,I,"Address input 1. Connect directly to VDD or VSS."
3,A2,I,"Address input 2. Connect directly to VDD or VSS."
24,A2,I,"Address input 2. Connect directly to VDD or VSS."
4,P0_0,I/O,"Port 0 input/output 0."
1,P0_0,I/O,"Port 0 input/output 0."
5,P0_1,I/O,"Port 0 input/output 1."
2,P0_1,I/O,"Port 0 input/output 1."
6,P0_2,I/O,"Port 0 input/output 2."
3,P0_2,I/O,"Port 0 input/output 2."
7,P0_3,I/O,"Port 0 input/output 3."
4,P0_3,I/O,"Port 0 input/output 3."
8,P0_4,I/O,"Port 0 input/output 4."
5,P0_4,I/O,"Port 0 input/output 4."
9,P0_5,I/O,"Port 0 input/output 5."
6,P0_5,I/O,"Port 0 input/output 5."
10,P0_6,I/O,"Port 0 input/output 6."
7,P0_6,I/O,"Port 0 input/output 6."
11,P0_7,I/O,"Port 0 input/output 7."
8,P0_7,I/O,"Port 0 input/output 7."
12,VSS,power,"Ground."
9,VSS,power,"Ground."
13,P1_0,I/O,"Port 1 input/output 0."
10,P1_0,I/O,"Port 1 input/output 0."
14,P1_1,I/O,"Port 1 input/output 1."
11,P1_1,I/O,"Port 1 input/output 1."
15,P1_2,I/O,"Port 1 input/output 2."
12,P1_2,I/O,"Port 1 input/output 2."
16,P1_3,I/O,"Port 1 input/output 3."
13,P1_3,I/O,"Port 1 input/output 3."
17,P1_4,I/O,"Port 1 input/output 4."
14,P1_4,I/O,"Port 1 input/output 4."
18,P1_5,I/O,"Port 1 input/output 5."
15,P1_5,I/O,"Port 1 input/output 5."
19,P1_6,I/O,"Port 1 input/output 6."
16,P1_6,I/O,"Port 1 input/output 6."
20,P1_7,I/O,"Port 1 input/output 7."
17,P1_7,I/O,"Port 1 input/output 7."
21,A0,I,"Address input 0. Connect directly to VDD or VSS."
18,A0,I,"Address input 0. Connect directly to VDD or VSS."
22,SCL,I,"Serial clock bus. Connect to VDD through a pull-up resistor."
19,SCL,I,"Serial clock bus. Connect to VDD through a pull-up resistor."
23,SDA,I/O,"Serial data bus. Connect to VDD through a pull-up resistor."
20,SDA,I/O,"Serial data bus. Connect to VDD through a pull-up resistor."
24,VDD,power,"Supply voltage."
21,VDD,power,"Supply voltage."
